,X,S,Y
0,0.0,0.0,0.4419219225320758
1,-0.02937806053614626,-0.003284158728191985,0.07552520820766628
2,-0.06260914588674119,0.025077970931639493,-0.13872400440448798
3,-0.15383134576187807,0.011567588434910023,-0.4323109449392288
4,-0.038204051730341124,0.026732263039944013,0.18033505680659265
5,-0.0016898089898517458,0.058899074127427876,0.08822424172494844
6,0.0020139580237904338,0.06713788468736559,-0.2369520113831904
7,0.032428788490574796,0.09419586799629953,0.5019807092824544
8,-0.017422725864344214,0.09068500537002434,1.1017102272948651
9,-0.03833247497768336,0.10598868648575434,1.3356168832402997
10,-0.0472831202728642,0.06823829134164454,-0.12950478702791435
11,-0.03160801551937334,0.0720069023315328,0.25094979256909644
12,-0.02902159083377416,0.11068703109401438,1.030693737658502
13,0.02555212733867941,0.12366189229290307,0.5182020411562664
14,0.10408798264147476,0.11482032617719662,0.585664139367115
15,0.03612439288398855,0.15646359320084183,0.25413899965726916
16,0.03851005611056832,0.14735140084417725,-0.24171942599969323
17,-0.0027994239039717227,0.13484824746950558,1.0368960540528014
18,-0.06865269323981803,0.14162358581439705,0.329877519845149
19,-0.13887040638711307,0.12551890868810714,0.13734736214431237
20,-0.13413033751840273,0.11084997632475435,-0.25656076031052133
21,-0.0805086477925014,0.14049270624831534,0.08490377883854129
22,-0.07566693180185714,0.12794239607987024,-0.14144012615563878
23,-0.0470165059261463,0.13644409958993575,0.125331308179052
24,-0.04556697718389431,0.15617766392996105,0.27983148068975167
25,-0.053452499009526276,0.1775665134486908,0.9126215641777352
26,-0.11189012141578684,0.16811539466337816,-0.05089656667425911
27,-0.10938623108204965,0.1353771719145112,0.6721906801295606
28,-0.13588308306400124,0.07488845681729375,-1.2760553951861007
29,-0.06448546911219152,0.09438218076630418,-0.08124333176412943
30,0.047154557094020694,0.07908376005733987,0.5963473066975001
31,0.07529933496334518,0.07704933240140922,0.6030523063321327
32,0.1409016715242638,0.07224791291491178,0.7369290793085062
33,0.22629308608725562,0.04134878284617493,0.5557049291660761
34,0.25939990859241047,0.03665983099362213,0.7091726435016942
35,0.20479538354647317,0.03653875656789251,0.43419685553073517
36,0.1151171834331576,0.04314458255545091,0.3318047000034837
37,0.14271156641170182,0.013133175998555223,0.12244502456239825
38,0.051306886777746696,0.01880979526818428,-0.11735747749003263
